id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
25,4.95,1.92,1,255,255,Car,2,325.21,31.03,32.65,32.03,34.14,1.05,93.32,0
26,4.35,1.82,1,270,270,Car,2,284.19,25.67,27.27,26.42,30.26,1.12,16.79,0
27,4.75,1.92,1,293,293,Car,1,267.52,22.22,23.83,22.92,8.21,0.36,-1.00,0
28,4.24,1.82,1,296,296,Car,2,378.82,31.04,33.52,32.12,48.34,1.50,144.77,0
29,4.45,1.92,1,304,304,Car,1,350.38,27.11,30.68,28.92,50.64,1.86,-1.00,0
30,3.74,1.82,1,326,326,Car,1,329.93,24.06,26.80,25.40,9.77,0.38,7.30,1
31,14.15,2.50,1,354,354,Truck,2,350.71,24.14,25.57,24.85,52.16,2.16,-1.00,0
32,5.15,1.92,1,374,374,Car,1,364.75,22.57,25.79,24.46,23.04,0.92,18.46,0
33,4.55,1.82,1,393,393,Car,1,374.59,22.86,24.84,23.90,145.52,6.13,51.71,0
34,4.85,2.02,1,397,397,Car,1,408.97,24.53,27.29,25.83,53.78,1.97,145.19,0
35,4.85,1.92,2,35,34,Car,2,41.44,31.36,31.80,31.58,-1.00,-1.00,-1.00,0
36,4.85,2.02,2,61,60,Car,1,67.65,28.28,29.36,28.84,16.42,0.57,11.67,0
37,5.66,2.22,2,83,82,Car,1,75.22,23.03,23.35,23.23,23.67,1.01,31.80,0
38,4.55,1.82,2,114,113,Car,2,135.20,29.78,30.71,30.22,34.55,1.16,-1.00,0
39,19.10,2.50,2,147,146,Truck,2,136.73,23.14,23.93,23.60,-1.00,-1.00,-1.00,0
40,4.85,1.82,2,162,161,Car,1,198.47,30.00,32.84,31.06,28.39,0.94,-1.00,0
41,4.35,1.72,2,238,237,Car,2,241.60,25.24,25.92,25.62,64.27,2.49,29.82,0
42,4.04,1.72,2,241,240,Car,1,294.71,29.74,31.77,30.85,27.97,0.93,365.55,0
43,5.76,2.22,2,269,268,Car,1,254.24,23.14,25.01,23.82,15.57,0.66,-1.00,0
44,4.55,1.82,2,325,324,Car,1,292.21,21.69,23.99,22.62,19.42,0.85,15.80,0
45,4.95,2.02,7,433,427,Car,1,410.61,23.63,25.43,24.11,46.64,1.95,29.79,0
46,4.55,1.92,14,351,338,Car,2,412.00,30.34,30.99,30.58,44.57,1.45,-1.00,0
47,4.55,2.02,18,417,400,Car,1,410.16,24.52,27.99,25.71,13.92,0.51,19.78,0
48,3.94,1.72,30,460,431,Car,1,410.40,23.53,24.26,23.87,17.89,0.75,93.05,0
49,4.55,1.92,32,316,285,Car,2,411.10,33.68,37.47,36.21,14.36,0.42,4.07,1
50,4.45,1.92,47,449,403,Car,1,410.50,24.11,28.96,25.54,21.88,0.83,13.64,0
51,4.55,1.92,51,493,443,Car,1,411.19,22.52,24.30,23.27,81.25,3.34,-1.00,0
52,5.00,1.92,60,374,315,Car,2,410.68,31.72,33.19,32.71,25.06,0.77,12.82,0
53,4.85,2.02,70,502,433,Car,1,409.61,23.32,24.11,23.71,30.88,1.29,59.72,0
54,4.45,1.92,72,402,331,Car,2,410.97,30.43,32.40,31.14,11.28,0.36,126.64,0
55,4.95,2.02,76,361,286,Car,2,412.82,34.80,37.70,36.23,55.20,1.58,42.77,0
56,4.35,1.92,87,526,440,Car,1,410.96,23.06,23.93,23.41,26.09,1.12,33.75,0
57,5.36,1.92,88,525,438,Car,1,409.85,23.09,23.91,23.46,11.98,0.50,77.99,0
58,5.15,2.02,91,488,398,Car,1,411.08,24.78,27.51,25.90,34.97,1.36,17.61,0
59,4.95,1.92,96,426,331,Car,2,412.18,30.90,31.78,31.24,19.76,0.63,21.76,0
60,4.65,1.82,107,381,275,Car,2,401.89,36.07,37.54,36.69,34.03,0.92,32.66,0
61,4.85,1.92,111,554,444,Car,1,409.85,22.57,23.96,23.14,14.87,0.64,40.01,0
62,4.45,1.92,114,511,398,Car,1,410.95,24.93,27.49,25.89,18.83,0.74,64.47,0
63,4.95,1.92,119,559,441,Car,1,410.44,22.79,24.37,23.33,22.66,0.96,36.64,0
64,5.26,2.02,122,404,283,Car,2,411.35,34.96,37.02,36.49,18.31,0.52,94.20,0
65,4.75,1.82,122,442,321,Car,2,410.97,31.51,32.51,32.12,16.39,0.52,16.00,0
66,4.65,2.02,136,582,447,Car,1,410.89,22.27,24.36,23.04,19.88,0.83,48.50,0
67,4.35,1.92,139,537,399,Car,1,410.01,24.62,27.30,25.76,19.52,0.77,29.35,0
68,4.75,1.92,143,427,285,Car,2,411.20,35.32,36.81,36.22,24.30,0.69,-1.00,0
69,4.85,1.92,149,560,412,Car,1,410.36,24.61,25.78,24.98,6.39,0.24,111.97,0
70,3.94,1.72,162,469,308,Car,2,404.20,32.29,33.31,32.93,38.83,1.16,21.59,0
71,4.04,1.82,169,592,424,Car,1,411.21,23.67,25.40,24.31,16.92,0.67,-1.00,0
72,4.85,2.02,170,446,277,Car,2,400.75,35.95,36.44,36.32,28.80,0.79,38.37,0
73,19.61,2.50,174,605,432,Truck,2,408.05,22.92,24.68,23.68,207.69,9.06,-1.00,0
74,4.45,1.82,179,608,430,Car,1,411.31,22.86,26.03,23.98,20.03,0.84,11.84,0
75,4.85,1.82,199,626,428,Car,1,411.28,22.99,26.03,24.09,21.99,0.91,24.35,0
76,4.85,1.82,205,481,277,Car,2,410.08,36.05,37.89,37.16,40.48,1.07,21.66,0
77,4.85,1.82,231,512,282,Car,2,412.07,35.58,37.51,36.68,33.24,0.93,-1.00,0
78,4.45,1.92,234,657,424,Car,1,410.12,22.80,25.83,24.25,26.83,1.07,49.52,0
79,5.15,2.12,251,672,422,Car,1,410.56,23.66,25.88,24.39,58.90,2.38,62.77,0
80,4.45,2.02,255,679,425,Car,1,410.41,23.10,25.21,24.20,16.71,0.69,40.51,0
81,4.45,1.82,258,541,284,Car,2,410.61,34.90,37.50,36.29,32.58,0.93,23.36,1
82,20.52,2.50,268,699,432,Truck,2,408.58,22.87,24.80,23.71,67.02,2.92,-1.00,0
83,3.84,1.92,276,572,297,Car,2,410.25,33.81,35.51,34.67,27.35,0.79,102.92,0
84,4.24,1.92,295,707,413,Car,1,410.85,24.20,26.40,24.94,27.15,1.11,19.61,0
85,4.85,1.92,297,725,429,Car,1,409.85,22.36,25.78,23.95,35.89,1.48,42.85,0
86,3.84,1.82,312,604,293,Car,2,411.78,34.39,36.97,35.28,42.58,1.17,50.53,1
87,5.36,2.02,321,631,311,Car,2,410.50,32.09,34.29,33.12,13.29,0.40,-1.00,0
88,4.75,2.02,324,710,387,Car,1,410.21,25.57,28.55,26.58,151.04,5.83,33.46,0
89,4.95,1.92,341,769,429,Car,1,411.07,20.91,27.60,24.02,37.74,1.55,23.51,0
90,4.65,1.82,356,737,382,Car,1,410.59,25.67,28.15,26.95,22.74,0.88,16.64,1
91,16.67,2.50,360,777,418,Truck,2,408.67,23.91,25.43,24.51,61.63,2.46,96.15,0
92,4.14,1.92,367,727,361,Car,1,411.32,26.42,29.89,28.58,8.91,0.33,4.37,0
93,3.94,1.82,368,801,434,Car,1,404.27,18.72,26.83,23.35,18.76,1.00,-1.00,0
94,4.65,2.02,384,747,364,Car,1,404.64,26.38,29.40,27.88,13.27,0.49,46.36,0
95,16.78,2.50,386,835,450,Truck,1,407.45,21.88,23.37,22.69,16.90,0.72,-1.00,0
96,3.94,1.72,389,803,415,Car,2,410.46,24.22,25.28,24.79,22.04,0.87,62.72,0
97,4.35,1.82,390,701,312,Car,2,410.69,32.12,34.36,33.03,85.16,2.65,-1.00,0
98,5.46,2.22,408,845,438,Car,1,411.10,20.56,28.44,23.53,23.79,1.14,18.06,0
99,4.75,1.82,414,726,313,Car,2,409.38,32.07,34.05,32.82,24.58,0.75,75.45,0
100,4.45,1.82,422,776,355,Car,1,404.81,26.76,30.40,28.60,29.90,0.99,11.20,1
101,4.65,1.92,437,872,436,Car,1,410.89,20.74,26.18,23.62,18.02,0.74,28.48,0
102,4.14,1.92,450,753,304,Car,2,409.23,32.26,34.41,33.78,34.01,0.99,31.27,0
103,4.85,2.02,461,841,381,Car,1,408.46,26.22,27.52,26.88,34.51,1.27,70.65,0
104,16.67,2.50,462,880,419,Truck,2,407.92,23.66,25.27,24.41,52.43,2.21,-1.00,0
105,4.45,1.82,464,749,286,Car,2,410.29,35.06,36.58,36.01,335.28,9.44,-1.00,0
106,15.46,2.50,472,919,448,Truck,1,409.71,22.44,23.68,22.92,62.22,2.64,37.71,0
107,4.75,1.92,491,919,429,Car,1,411.07,22.67,26.74,24.02,32.59,1.43,13.34,0
108,4.65,1.82,495,875,381,Car,1,409.46,26.10,28.27,26.94,30.58,1.15,29.58,0
109,4.04,1.72,497,942,446,Car,1,405.19,22.34,23.52,22.77,18.23,0.80,24.62,0
110,3.94,1.82,514,950,437,Car,1,405.15,21.84,24.68,23.24,17.17,0.74,39.71,0
111,4.35,1.82,522,918,397,Car,1,411.40,25.39,27.78,25.98,25.31,0.94,45.84,0
112,4.65,2.02,528,961,434,Car,1,404.15,21.59,26.93,23.34,8.15,0.35,4.77,1
113,4.35,1.82,532,996,465,Car,1,411.10,21.57,22.94,22.15,28.47,1.26,100.58,0
114,4.85,1.92,554,991,438,Car,1,411.01,21.37,26.43,23.52,10.17,0.46,5.89,0
115,4.55,1.92,568,950,383,Car,1,411.05,25.56,27.60,26.91,28.80,1.09,19.50,0
116,3.84,1.82,577,1034,458,Car,1,410.53,22.03,23.55,22.47,27.17,1.23,24.40,0
117,4.55,1.92,588,1038,451,Car,1,410.89,21.19,26.03,22.84,22.05,1.01,14.23,0
118,16.57,2.50,592,1000,409,Truck,2,409.38,24.39,26.17,25.09,105.94,4.17,334.58,0
119,5.26,2.02,608,906,299,Car,2,410.57,33.21,35.05,34.46,205.80,5.99,307.83,0
120,4.45,1.82,617,1074,458,Car,1,411.69,21.12,25.34,22.53,21.50,1.00,36.99,0
121,4.24,1.72,622,933,312,Car,2,409.00,30.93,36.02,32.90,222.82,6.18,-1.00,0
122,4.95,1.82,646,946,301,Car,2,409.72,31.51,37.68,34.16,11.80,0.37,6.71,0
123,4.04,1.82,647,1041,395,Car,1,409.71,25.60,26.38,26.01,70.55,2.73,-1.00,0
124,5.05,1.92,649,1117,469,Car,1,410.55,20.63,25.09,21.94,22.76,1.03,30.87,0
125,16.67,2.50,666,1124,459,Truck,1,408.13,21.79,22.60,22.28,63.58,2.83,115.29,0
126,4.95,1.82,668,962,295,Car,2,408.78,33.46,36.38,34.78,74.04,2.13,93.58,0
127,4.95,1.92,689,1160,472,Car,1,411.57,20.62,24.49,21.85,30.82,1.45,29.24,0
128,4.75,2.02,694,1161,468,Car,1,410.53,21.47,22.28,21.98,21.20,0.98,5503.27,0
129,4.75,2.02,695,1108,414,Car,1,410.62,24.71,25.54,24.87,46.41,1.81,-1.00,0
130,4.65,1.82,718,1137,420,Car,1,410.08,24.21,24.83,24.47,18.59,0.76,228.68,0
131,4.65,1.92,724,1191,468,Car,1,411.28,21.28,22.60,22.02,21.63,0.97,23.73,0
132,3.94,1.92,742,1161,420,Car,1,377.64,21.39,23.36,22.54,7.35,0.32,21.46,1
133,4.04,1.72,745,1018,274,Car,2,409.98,36.93,38.82,37.57,106.10,2.80,16.77,0
134,4.35,1.82,750,1192,443,Car,1,408.21,21.73,25.11,23.09,20.33,0.85,12.87,0
135,4.95,1.92,756,1202,447,Car,1,410.42,22.12,23.74,23.01,31.79,1.35,34.12,0
136,6.06,2.12,769,1258,490,Car,1,411.05,20.77,21.85,21.02,32.74,1.53,-1.00,0
137,4.85,2.02,787,1233,447,Car,1,411.17,22.04,23.76,23.05,21.82,0.97,23.77,0
138,4.04,1.92,801,1232,432,Car,1,410.53,21.99,26.05,23.81,31.76,1.40,15.95,0
139,4.35,1.82,806,1257,452,Car,1,410.69,21.16,25.37,22.77,10.95,0.49,8.22,0
140,14.55,2.73,810,1255,446,Car,2,410.46,22.40,24.01,23.07,36.26,1.54,-1.00,0
141,4.04,1.82,812,1084,273,Car,2,407.36,36.82,38.86,37.47,93.34,2.50,130.58,1
142,4.85,1.82,832,1261,430,Car,1,410.50,22.84,25.38,23.93,22.22,0.93,12.40,0
143,4.65,1.92,835,1182,348,Car,2,402.33,28.53,30.10,29.00,28.41,0.99,-1.00,1
144,4.65,1.92,841,1128,288,Car,2,411.21,35.23,36.39,35.84,40.99,1.16,-1.00,1
145,4.65,1.92,850,1307,458,Car,1,410.88,20.83,24.17,22.49,30.34,1.38,20.71,0
146,4.45,1.82,854,1284,431,Car,1,410.39,22.23,25.57,23.87,13.27,0.57,13.85,0
147,16.67,2.50,868,1312,445,Truck,2,406.97,22.14,23.81,22.92,32.31,1.46,-1.00,0
148,4.65,1.92,874,1344,471,Car,1,411.17,20.46,24.31,21.88,18.33,0.80,59.58,0
149,6.97,2.22,876,1198,323,Car,2,409.48,30.94,32.61,31.81,8.14,0.26,5.45,0
150,4.85,1.82,880,1142,263,Car,2,409.01,37.81,40.29,39.06,40.40,1.04,14.44,0
151,16.78,2.50,883,1342,460,Truck,1,408.74,21.44,23.97,22.27,58.37,2.64,24.25,0
152,4.04,1.82,886,1319,434,Car,1,411.55,23.08,24.30,23.76,23.08,0.99,16.50,0
153,4.55,1.92,903,1366,464,Car,1,411.23,20.86,24.43,22.21,10.78,0.50,11.08,1
154,5.05,1.92,919,1193,275,Car,2,411.10,35.58,39.19,37.53,54.65,1.53,-1.00,0
155,13.64,2.50,932,1367,436,Truck,2,407.33,22.49,24.21,23.42,41.57,1.71,73.46,0
156,6.27,2.22,939,1361,423,Car,1,409.62,23.84,25.27,24.28,36.97,1.48,25.56,0
157,6.77,2.32,952,1333,382,Car,2,409.38,26.08,28.07,26.87,28.82,1.03,-1.00,0
158,4.14,1.92,953,1391,439,Car,1,403.94,22.09,25.63,23.07,28.01,1.26,19.93,0
159,4.14,1.72,973,1354,382,Car,2,409.16,26.10,28.63,26.86,16.33,0.62,33.21,0
160,3.84,1.82,980,1295,316,Car,2,404.34,29.99,34.25,32.11,84.25,2.81,-1.00,1
161,5.05,1.92,980,1407,428,Car,1,409.97,23.15,25.22,24.01,32.80,1.35,36.54,0
162,4.45,1.92,990,1437,448,Car,1,410.96,22.01,24.83,22.99,26.95,1.20,33.86,0
163,13.74,2.50,993,1464,472,Truck,1,409.09,20.31,23.76,21.72,58.47,2.69,45.13,0
164,6.06,2.43,1009,1453,445,Car,1,408.22,21.89,25.31,22.99,7.95,0.36,20.43,0
165,4.75,2.02,1017,1447,431,Car,1,410.31,23.04,25.96,23.86,27.53,1.17,27.93,0
166,3.94,1.72,1018,1324,307,Car,2,407.65,32.27,35.35,33.31,31.05,0.89,16.14,0
167,4.75,1.82,1024,1343,320,Car,2,400.76,29.87,33.17,31.42,10.52,0.34,8.12,1
168,4.45,1.92,1032,1480,449,Car,1,410.81,22.21,24.93,22.93,19.20,0.83,53.74,0
169,4.65,1.92,1032,1490,459,Car,1,410.69,20.22,25.02,22.43,16.12,0.78,14.83,0
170,4.45,2.02,1033,1466,434,Car,1,411.85,22.79,25.65,23.79,8.74,0.37,13.18,0
171,16.47,2.50,1038,1461,424,Truck,2,406.44,23.20,25.09,24.03,75.17,3.06,180.17,0
172,4.55,1.92,1066,1505,440,Car,1,409.90,22.14,24.93,23.35,17.79,0.79,14.93,0
173,4.65,2.02,1077,1515,439,Car,1,411.11,22.50,24.93,23.48,38.17,1.60,64.94,0
174,3.94,1.72,1102,1526,425,Car,1,410.02,21.70,26.26,24.19,27.99,1.12,14.25,1
175,4.95,1.92,1110,1550,441,Car,1,409.59,21.84,24.62,23.28,23.23,1.01,22.23,0
176,3.74,1.72,1119,1560,442,Car,1,410.91,22.62,23.95,23.30,17.45,0.72,26.16,0
177,4.04,1.82,1137,1564,428,Car,1,409.39,22.40,25.24,23.98,3.50,0.14,14.50,1
178,4.55,1.92,1138,1549,412,Car,1,409.55,23.17,26.46,24.92,31.87,1.22,16.12,0
179,3.74,1.82,1140,1587,448,Car,1,410.84,22.06,23.54,22.99,16.36,0.71,102.75,0
180,4.45,1.92,1157,1592,436,Car,1,409.46,21.02,26.29,23.54,12.97,0.53,131.03,0
181,4.35,1.82,1177,1619,443,Car,1,410.14,20.78,24.71,23.21,16.98,0.69,15.47,0
182,4.24,1.82,1189,1608,420,Car,1,411.64,23.30,25.16,24.57,49.69,2.06,19.98,0
183,4.14,1.82,1204,1646,443,Car,1,409.48,21.33,24.56,23.17,20.15,0.92,21.64,0
184,4.35,1.82,1207,1530,324,Car,2,409.73,31.03,33.19,31.73,222.23,7.09,58.82,0
185,4.95,2.02,1220,1637,418,Car,1,410.90,23.66,25.87,24.64,21.09,0.84,11.64,0
186,3.94,1.72,1233,1557,325,Car,2,402.14,29.72,32.37,31.05,23.40,0.74,21.47,0
187,8.19,2.50,1237,1687,451,Truck,1,407.06,21.96,23.32,22.62,11.73,0.51,120.46,0
188,3.94,1.82,1238,1650,413,Car,1,410.81,23.99,25.35,24.92,14.46,0.57,5.30,1
189,4.95,1.92,1262,1677,416,Car,1,411.15,23.71,25.49,24.77,28.86,1.16,18.81,0
190,4.45,1.82,1265,1688,424,Car,1,411.55,23.65,24.46,24.33,22.67,0.93,11.78,0
191,4.14,1.92,1274,1587,314,Car,2,409.26,31.94,33.39,32.71,28.70,0.86,10.55,0
192,4.35,1.82,1277,1542,266,Car,2,410.69,37.22,40.16,38.77,299.61,7.88,61.92,0
193,4.65,1.82,1286,1691,406,Car,1,409.60,23.74,26.06,25.29,9.67,0.39,8.30,0
194,16.67,2.50,1286,1695,410,Truck,2,409.69,24.19,26.11,25.05,219.91,8.85,4664.73,0
195,3.74,1.82,1290,1712,423,Car,1,409.90,23.61,24.74,24.29,20.05,0.84,23.35,0
196,4.45,1.92,1306,1755,450,Car,1,410.23,21.96,23.78,22.85,58.83,2.48,34.42,0
197,4.04,1.82,1315,1739,425,Car,1,410.91,23.83,24.64,24.24,18.61,0.77,30.64,0
198,4.35,1.82,1316,1643,328,Car,2,410.64,30.56,33.19,31.41,50.33,1.64,-1.00,0
199,3.74,1.72,1317,1728,412,Car,1,411.48,22.94,26.41,25.04,26.70,1.16,32.30,0
200,5.05,1.82,1327,1602,276,Car,2,409.52,35.31,38.43,37.25,68.91,1.95,-1.00,0
201,4.55,1.82,1340,1663,324,Car,2,408.32,31.46,31.86,31.62,17.78,0.56,18.55,0
202,4.24,1.92,1344,1795,452,Car,1,407.23,21.91,23.06,22.58,24.45,1.09,25.96,0
203,4.75,1.92,1353,1775,423,Car,1,410.11,23.58,24.96,24.30,30.49,1.24,38.36,0
204,4.75,1.92,1354,1762,409,Car,1,409.77,22.23,27.08,25.12,28.95,1.22,19.81,0
205,4.65,1.82,1375,1794,420,Car,1,410.66,22.03,26.79,24.51,14.38,0.64,111.32,0
206,4.55,1.92,1389,1843,455,Car,1,411.73,21.89,23.59,22.68,39.64,1.69,105.25,0
207,4.85,2.02,1404,1827,424,Car,1,410.46,23.76,25.12,24.27,41.82,1.73,43.50,0
208,4.04,1.82,1405,1827,423,Car,1,410.93,22.05,27.68,24.35,19.72,0.86,11.84,0
209,4.95,1.92,1425,1880,456,Car,1,411.24,21.42,24.05,22.60,22.39,1.00,16.62,0
210,4.24,1.82,1427,1848,422,Car,1,410.25,23.43,25.49,24.37,14.89,0.61,14.99,0
211,4.80,1.82,1428,1697,270,Car,2,409.00,37.52,38.61,38.03,138.06,3.59,163.11,0
212,4.45,1.82,1432,1780,349,Car,2,411.31,29.05,30.11,29.56,114.46,3.94,-1.00,0
213,4.95,1.92,1448,1890,443,Car,1,411.26,21.45,25.75,23.27,30.64,1.34,19.37,0
214,2.73,1.82,1464,1875,412,Car,1,410.40,24.28,26.69,24.97,23.93,0.95,15.97,0
215,5.05,1.92,1466,1738,273,Car,2,408.50,36.49,38.62,37.57,51.38,1.41,68.16,0
216,4.35,1.92,1466,1915,450,Car,1,409.38,21.79,24.22,22.80,23.00,1.03,12.28,0
217,4.75,1.92,1473,1929,457,Car,1,410.11,20.85,24.53,22.50,17.77,0.82,25.96,0
218,16.67,2.50,1477,1895,419,Truck,2,409.46,23.75,25.36,24.50,170.78,7.19,-1.00,0
219,4.35,1.82,1490,1837,348,Car,2,410.10,29.31,29.97,29.56,60.35,2.02,114.69,0
220,3.74,1.92,1493,1950,458,Car,1,410.29,21.12,24.22,22.45,8.61,0.40,8.58,0
221,4.14,1.82,1510,1973,464,Car,1,410.87,21.32,23.15,22.19,39.37,1.73,65.34,0
222,6.06,2.22,1513,1964,452,Car,1,401.35,20.76,23.16,22.26,9.56,0.44,9.78,0
223,5.05,1.92,1518,1962,445,Car,1,410.23,22.58,24.10,23.11,51.44,2.20,-1.00,0
224,15.26,2.50,1535,1958,424,Truck,2,410.81,23.33,25.29,24.29,40.80,1.74,-1.00,0
225,3.54,1.72,1543,1862,320,Car,2,410.12,30.74,32.78,32.16,26.75,0.85,11.56,0
226,4.85,2.02,1544,2003,460,Car,1,410.31,21.29,23.16,22.36,19.57,0.91,18.78,0
227,4.24,1.72,1553,1843,291,Car,2,409.87,33.34,36.93,35.35,124.86,3.74,-1.00,0
228,4.65,1.82,1567,2033,467,Car,1,409.18,21.29,22.80,21.96,14.85,0.66,287.18,0
229,4.24,1.82,1571,1937,367,Car,2,411.07,25.20,30.22,28.09,26.82,1.03,11.93,1
230,3.94,1.82,1581,2047,467,Car,1,410.34,20.14,23.41,22.02,4.73,0.22,3.89,0
231,4.85,1.92,1598,2052,455,Car,1,410.70,21.76,23.65,22.63,66.69,2.89,95.12,0
232,3.84,1.82,1603,2066,464,Car,1,411.03,21.26,23.38,22.20,78.51,3.46,91.64,0
233,4.85,2.02,1610,2067,458,Car,1,408.57,21.00,24.07,22.36,9.31,0.43,5.67,0
234,3.94,1.82,1621,2068,448,Car,1,404.97,21.15,23.82,22.65,13.66,0.62,12.69,0
235,4.65,1.72,1622,2012,391,Car,2,410.31,25.55,27.38,26.31,54.76,2.02,31.10,0
236,4.45,1.92,1627,2083,457,Car,1,404.04,21.51,23.07,22.15,12.40,0.54,31.80,0
237,4.14,1.92,1650,2112,463,Car,1,409.54,21.14,23.20,22.17,33.96,1.55,24.80,0
238,4.55,1.82,1665,2123,459,Car,1,410.12,21.33,24.27,22.40,35.66,1.59,26.17,0
239,4.45,1.82,1668,1924,257,Car,2,410.06,37.71,42.24,40.08,129.19,3.15,31.59,0
240,3.64,1.72,1671,1959,289,Car,2,405.26,34.60,36.61,35.20,39.28,1.08,6.41,1
241,4.65,2.02,1682,2116,435,Car,1,410.58,22.36,24.70,23.65,18.83,0.84,9.51,0
242,11.72,2.73,1683,2098,416,Car,2,410.23,23.85,25.66,24.72,50.04,2.09,-1.00,0
243,3.64,1.72,1694,2157,464,Car,1,410.82,21.44,23.85,22.19,19.56,0.90,26.81,0
244,3.84,1.82,1697,2162,466,Car,1,410.63,21.23,23.14,22.09,39.31,1.79,35.68,0
245,2.93,1.62,1715,2126,412,Car,2,411.02,24.30,25.78,25.01,26.67,1.03,65.73,0
246,3.44,1.72,1716,2184,469,Car,1,409.82,21.39,22.89,21.90,15.57,0.70,42.15,0
247,5.05,2.02,1717,2145,429,Car,1,409.89,21.53,24.73,23.94,20.11,0.88,15.01,0
248,4.24,2.02,1717,2189,473,Car,1,407.98,20.52,22.60,21.61,11.27,0.51,23.80,0
249,4.14,1.72,1730,2064,335,Car,2,410.90,29.49,33.33,30.77,77.56,2.61,959.22,0
250,4.04,1.82,1737,2144,408,Car,2,410.34,23.97,26.21,25.21,14.55,0.56,29.94,0
251,4.55,1.92,1753,2217,465,Car,1,408.64,21.24,23.37,22.02,19.50,0.90,10.50,0
252,4.24,1.82,1761,2100,340,Car,2,409.93,28.69,31.58,30.25,30.53,1.06,136.59,0
253,4.75,2.02,1766,2225,460,Car,1,410.30,22.02,23.54,22.35,30.66,1.37,20.01,0
254,5.46,2.02,1770,2084,315,Car,2,411.31,31.65,33.42,32.76,148.23,4.51,-1.00,0
255,4.75,1.92,1772,2188,417,Car,1,410.33,23.22,26.40,24.67,37.99,1.49,9.91,0
256,2.93,1.62,1776,2164,389,Car,2,410.46,24.73,29.26,26.46,12.32,0.45,26.96,1
257,4.75,1.82,1790,2143,354,Car,2,412.26,28.35,31.04,29.21,30.55,1.06,-1.00,0
258,4.55,1.82,1802,2116,315,Car,2,410.81,32.30,33.60,32.72,35.57,1.08,71.35,0
259,4.65,2.02,1810,2239,430,Car,1,409.83,22.72,25.55,23.89,33.31,1.39,57.60,0
260,4.14,1.82,1813,2205,393,Car,2,410.17,25.44,27.20,26.17,15.66,0.58,53.69,0
261,4.75,2.02,1813,2265,453,Car,1,409.97,21.68,24.51,22.68,31.09,1.38,17.71,0
262,5.15,1.92,1833,2148,316,Car,2,402.24,31.83,32.18,31.94,34.48,1.08,-1.00,0
263,3.94,1.72,1839,2180,342,Car,2,404.86,29.20,30.25,29.69,21.74,0.72,10.28,1
264,5.05,2.02,1839,2237,399,Car,2,411.91,24.55,26.70,25.88,22.80,0.92,187.20,0
